2 0 2 e 7 	1308.269084877	1.814e-05	98
1 1 1 e 41 	1310.063363755	5.939e-05	112
1 1 1 f 41 	1311.424169148	9.462e-05	108
2 0 1 e 18 	1311.716150553	3.523e-05	127
2 0 2 e 8 	1314.944811977	2.028e-05	109
2 2 1 f 18 	1321.406502714	3.812e-05	85
2 2 1 e 18 	1321.413422223	3.972e-05	107
2 0 2 e 9 	1322.454900219	2.222e-05	104
2 0 1 e 19 	1327.666350791	3.641e-05	138
2 0 2 e 10 	1330.799311363	2.401e-05	116
0 0 1 e 56 	1335.688314930	1.542e-04	144
2 2 1 f 19 	1337.366316940	3.919e-05	85
2 2 1 e 19 	1337.374855664	4.076e-05	103
2 0 2 e 11 	1339.978004289	2.567e-05	112
2 0 1 e 20 	1344.455270879	3.753e-05	121
1 1 1 e 42 	1345.221440422	6.389e-05	105
1 1 1 f 42 	1346.648474142	6.281e-05	114
2 0 2 e 12 	1349.990933369	2.723e-05	112
2 2 1 f 20 	1354.165555013	4.026e-05	96
2 2 1 e 20 	1354.175978953	4.178e-05	107
2 0 2 e 13 	1360.838049073	2.873e-05	101
2 0 1 e 21 	1362.082793547	3.861e-05	131
2 2 1 f 21 	1371.804129312	4.126e-05	95
2 2 1 e 21 	1371.816731579	4.277e-05	105
2 0 2 e 14 	1372.519297124	3.014e-05	112
2 0 1 e 22 	1380.548796950	3.968e-05	125
1 1 1 e 43 	1381.214012195	6.046e-05	112
1 1 1 f 43 	1382.708836587	6.247e-05	116
0 0 1 e 57 	1383.325056375	1.671e-04	131
2 0 2 e 15 	1385.034620141	3.149e-05	101
2 2 1 f 22 	1390.281948652	4.226e-05	96
2 2 1 e 22 	1390.297049660	4.379e-05	94
2 0 2 e 16 	1398.383955593	3.279e-05	106
2 0 1 e 23 	1399.853152350	4.070e-05	127
2 2 1 f 23 	1409.598917091	4.324e-05	91
2 2 1 e 23 	1409.616866486	4.468e-05	97
2 0 2 e 17 	1412.567237791	3.405e-05	112
1 1 1 e 44 	1418.040889978	5.940e-05	109
1 1 1 f 44 	1419.605065838	6.204e-05	106
2 0 1 e 24 	1419.995727745	4.170e-05	131
2 0 2 e 18 	1427.584396156	3.524e-05	111
2 2 1 f 24 	1429.754932740	4.417e-05	89
2 2 1 e 24 	1429.776111528	4.560e-05	97
0 0 1 e 58 	1431.792826718	1.795e-04	120
2 0 1 e 25 	1440.976383612	4.266e-05	129
2 0 2 e 19 	1443.435355675	3.641e-05	107
2 2 1 f 25 	1450.749893519	4.622e-05	85
2 2 1 e 25 	1450.774717760	5.591e-05	93
1 1 1 e 45 	1455.701885919	6.065e-05	115
1 1 1 f 45 	1457.336971210	6.225e-05	94
2 0 2 e 20 	1460.120038465	3.753e-05	107
2 0 1 e 26 	1462.794975522	4.361e-05	125
2 2 1 f 26 	1472.583690174	4.715e-05	82
2 2 1 e 26 	1472.612595878	5.668e-05	100
2 0 2 e 21 	1477.638361339	3.863e-05	102
0 0 1 e 59 	1481.091380947	1.911e-04	115
2 0 1 e 27 	1485.451354552	4.451e-05	103
1 1 1 e 46 	1494.196802617	6.117e-05	103
2 2 1 f 27 	1495.256206053	4.714e-05	82
2 2 1 e 27 	1495.289667676	5.013e-05	82
1 1 1 f 46 	1495.904357664	6.289e-05	91
2 0 2 e 22 	1495.990237695	3.970e-05	104
2 0 1 e 28 	1508.945365883	4.549e-05	112
2 0 2 e 23 	1515.175576298	4.069e-05	101
2 2 1 f 28 	1518.767328684	4.796e-05	91
2 2 1 e 28 	1518.805854973	5.096e-05	98
0 0 1 e 60 	1531.220468633	2.020e-04	109
2 0 1 e 29 	1533.276848486	4.636e-05	114
1 1 1 e 47 	1533.525445125	6.212e-05	102
2 0 2 e 24 	1535.194282597	4.170e-05	109
1 1 1 f 47 	1535.307030796	6.377e-05	84
2 2 1 f 29 	1543.116933218	4.885e-05	79
2 2 1 e 29 	1543.161067081	5.180e-05	99
2 0 2 e 25 	1556.046256544	4.266e-05	95
2 0 1 e 30 	1558.445637616	4.728e-05	109
2 2 1 f 30 	1568.304893464	4.969e-05	79
2 2 1 e 30 	1568.355211731	5.258e-05	80
1 1 1 e 48 	1573.687612773	6.500e-05	89
1 1 1 f 48 	1575.544758013	7.946e-05	90
2 0 2 e 26 	1577.731395548	4.364e-05	108
0 0 1 e 61 	1582.179836751	2.124e-04	110
2 0 1 e 31 	1584.451562904	4.819e-05	104
2 2 1 f 31 	1594.331078223	5.056e-05	82
2 2 1 e 31 	1594.388193519	5.335e-05	84
2 0 2 e 27 	1600.249592440	4.453e-05	98
2 0 1 e 32 	1611.294449588	4.909e-05	104
1 1 1 e 49 	1614.683105835	8.044e-05	91
1 1 1 f 49 	1616.617401308	8.292e-05	77
2 2 1 f 32 	1621.195353089	5.140e-05	82
2 2 1 e 32 	1621.259912449	5.420e-05	83
2 0 2 e 28 	1623.600735027	4.550e-05	102
0 0 1 e 62 	1633.969226233	2.223e-04	91
2 0 1 e 33 	1638.974119833	5.244e-05	98
2 0 2 e 29 	1647.784705671	4.640e-05	97
2 2 1 f 33 	1648.897581312	5.921e-05	63
2 2 1 e 33 	1648.970270726	5.585e-05	80
1 1 1 e 50 	1656.511694693	7.999e-05	82
1 1 1 f 50 	1658.524670227	9.651e-05	72
2 0 1 e 34 	1667.490377095	5.352e-05	94
2 0 2 e 30 	1672.801390897	4.732e-05	86
2 2 1 f 34 	1677.437607822	5.873e-05	72
2 2 1 e 34 	1677.519148880	5.687e-05	77
0 0 1 e 63 	1686.588374550	2.318e-04	80
2 0 1 e 35 	1696.843044679	5.430e-05	91
2 0 2 e 31 	1698.650658711	4.821e-05	91
1 1 1 e 51 	1699.173197421	9.628e-05	71
1 1 1 f 51 	1701.266435931	9.371e-05	74
2 2 1 f 35 	1706.815297952	6.091e-05	65
2 2 1 e 35 	1706.906443411	5.760e-05	76
2 0 2 e 32 	1725.332389450	4.909e-05	92
2 0 1 e 36 	1727.031923534	5.515e-05	78
2 2 1 f 36 	1737.030491942	6.514e-05	64
2 2 1 e 36 	1737.132037387	5.821e-05	76
0 0 1 e 64 	1740.037074075	2.511e-04	76
1 1 1 e 52 	1742.667353628	9.841e-05	72
1 1 1 f 52 	1744.842446086	1.102e-04	77
3 1 1 e 1 	1749.904206401	7.932e-04	4
3 1 1 f 1 	1749.910235670	1.390e-03	3
3 1 1 e 2 	1751.582787864	1.531e-03	10
3 1 1 f 2 	1751.591535881	1.116e-04	14
2 0 2 e 33 	1752.846442530	4.998e-05	99
3 1 1 e 3 	1754.100352249	5.215e-05	16
3 1 1 f 3 	1754.117939477	7.792e-05	24
3 1 1 e 4 	1757.456730332	1.205e-04	25
3 1 1 f 4 	1757.486347378	1.312e-04	24
2 0 1 e 37 	1758.056812098	5.754e-05	84
3 1 1 e 5 	1761.652507661	5.261e-05	26
3 1 1 f 5 	1761.697233622	6.513e-05	27
3 1 1 e 6 	1766.687315940	5.280e-05	28
3 1 1 f 6 	1766.749977864	5.571e-05	23
2 2 1 f 37 	1768.083034155	6.981e-05	66
2 2 1 e 37 	1768.195806874	6.015e-05	70
3 3 1 f 3 	1771.959682476	9.552e-04	11
3 3 1 e 3 	1771.960704676	6.636e-04	16
3 1 1 e 7 	1772.561160433	5.332e-05	28
3 1 1 f 7 	1772.644844015	5.620e-05	29
3 3 1 f 4 	1775.324923973	4.647e-04	14
3 3 1 e 4 	1775.326344004	3.761e-04	20
3 1 1 e 8 	1779.274080770	5.406e-05	33
3 1 1 f 8 	1779.381611250	5.679e-05	22
3 3 1 f 5 	1779.531559564	6.536e-04	16
3 3 1 e 5 	1779.532599140	4.756e-04	25
2 0 2 e 34 	1781.192690397	5.084e-05	85
3 3 1 f 6 	1784.579672386	4.446e-04	16
3 3 1 e 6 	1784.581119547	3.689e-04	25
3 1 1 e 9 	1786.826287226	2.466e-04	32
3 1 1 f 9 	1786.960433711	5.746e-05	29
1 1 1 e 53 	1786.993985846	1.136e-04	75
1 1 1 f 53 	1789.252386505	1.239e-04	64
2 0 1 e 38 	1789.917536167	1.198e-04	69
3 3 1 f 7 	1790.468622478	4.776e-04	16
3 3 1 e 7 	1790.469673086	6.417e-04	26
0 0 1 e 65 	1794.314935660	2.564e-04	77
3 1 1 e 10 	1795.216838424	6.397e-05	26
3 1 1 f 10 	1795.381136512	5.817e-05	27
3 3 1 f 8 	1797.199162082	4.156e-04	19
3 3 1 e 8 	1797.200620453	3.480e-04	28
2 2 1 f 38 	1799.972751076	1.317e-04	59
2 2 1 e 38 	1800.097725755	7.256e-05	62
3 1 1 e 11 	1804.446571637	6.527e-05	29
3 1 1 f 11 	1804.643786388	7.742e-05	27
3 3 1 f 9 	1804.770604100	3.586e-04	19
3 3 1 e 9 	1804.771973100	4.916e-04	26
2 0 2 e 35 	1810.370983950	5.171e-05	84
3 3 1 f 10 	1813.183737236	3.487e-04	25
3 3 1 e 10 	1813.184386888	4.661e-04	29
3 1 1 e 12 	1814.515148980	5.694e-05	38
3 1 1 f 12 	1814.748139260	5.886e-05	31
3 3 1 f 11 	1822.437711546	3.488e-04	21
3 3 1 e 11 	1822.438655147	3.718e-04	25
2 0 1 e 39 	1822.613798407	8.634e-05	76
3 1 1 e 13 	1825.422477645	5.766e-05	27
3 1 1 f 13 	1825.694293487	5.940e-05	24
1 1 1 e 54 	1832.152786487	1.380e-04	66
3 3 1 f 12 	1832.532639022	4.730e-04	24
3 3 1 e 12 	1832.533265324	7.776e-04	24
2 2 1 f 39 	1832.699560051	7.815e-05	51
2 2 1 e 39 	1832.837409834	9.456e-05	62
1 1 1 f 54 	1834.496169554	1.606e-04	69
